clas_gt,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,joint_angles0,joint_angles1,joint_angles2,joint_angles3,joint_angles4,joint_angles5,joint_angles6,joint_angles7,joint_angles8,joint_angles9,joint_angles10,joint_angles11,joint_angles12,joint_angles13,joint_angles14
1,130,262,315,186,81,49,112,55,0.6827064157,0.1433805525,0.4841231108,0.3363458812,0.310454309,0.4487054348,0.507327795,0.5449438095,0.4723986387,0.5952613354,0.5068392754,0.5144113302,0.446995616,0.4135319889,0.5229604244
1,171,282,350,226,131,58,119,75,0.6919882894,0.1433805525,0.4662921429,0.3444064558,0.3199804723,0.4027845562,0.507327795,0.536883235,0.4892525673,0.5791401863,0.497068882,0.5144113302,0.446995616,0.4057156742,0.5229604244
1,207,396,338,216,142,65,113,107,0.6919882894,0.1433805525,0.4662921429,0.3444064558,0.3199804723,0.4027845562,0.507327795,0.536883235,0.4892525673,0.5791401863,0.497068882,0.5144113302,0.446995616,0.4057156742,0.5229604244
1,206,221,256,179,86,45,85,85,0.6919882894,0.1433805525,0.4816805124,0.3444064558,0.3285295665,0.4755740166,0.4995114803,0.536883235,0.4975574017,0.5791401863,0.497068882,0.5144113302,0.446995616,0.4057156742,0.5229604244
1,203,218,262,178,90,45,77,83,0.6919882894,0.1433805525,0.4816805124,0.3444064558,0.3285295665,0.4836345911,0.4995114803,0.536883235,0.4975574017,0.5791401863,0.5053737164,0.5144113302,0.446995616,0.4057156742,0.5229604244
1,140,230,263,140,58,32,38,54,0.6919882894,0.1433805525,0.4816805124,0.3444064558,0.3285295665,0.4836345911,0.4995114803,0.536883235,0.4975574017,0.5791401863,0.5053737164,0.5144113302,0.446995616,0.4135319889,0.5229604244
1,97,167,250,89,41,28,37,37,0.6919882894,0.1433805525,0.4816805124,0.3444064558,0.3285295665,0.4653151035,0.4995114803,0.536883235,0.4975574017,0.5791401863,0.5053737164,0.5144113302,0.446995616,0.4135319889,0.5229604244
1,60,197,263,93,29,28,24,35,0.6919882894,0.1433805525,0.4816805124,0.3444064558,0.3285295665,0.45578897,0.4995114803,0.536883235,0.4975574017,0.5791401863,0.5053737164,0.5144113302,0.446995616,0.4135319889,0.5229604244
2,154,159,82,251,110,45,65,60,0.7574499249,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,144,127,75,286,123,43,59,46,0.7574499249,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,144,160,72,282,123,46,70,43,0.7574499249,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,108,166,60,271,115,50,106,45,0.7574499249,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,120,147,64,311,124,48,76,50,0.766243279,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,91,153,161,178,87,42,64,45,0.766243279,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,79,157,255,89,45,40,32,47,0.766243279,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,76,149,234,78,47,40,30,50,0.766243279,0.1199316084,0.4211040437,0.3434294164,0.4342940748,0.4018075168,0.4833903313,0.3759159744,0.5715681314,0.5422569513,0.3673668802,0.6067415476,0.3917928636,0.3624816835,0.5657058954
2,170,291,249,110,55,42,64,130,0.7496336102,0.1199316084,0.41182217,0.3434294164,0.4264777601,0.3927699029,0.4719101191,0.3671226203,0.5715681314,0.5261358023,0.3673668802,0.5981924534,0.3827552497,0.3624816835,0.5657058954
2,160,324,205,108,66,44,55,88,0.7134831548,0.1106497347,0.3947239816,0.3434294164,0.4181729257,0.3837322891,0.4719101191,0.3671226203,0.5715681314,0.5261358023,0.3673668802,0.5652173758,0.3744504154,0.3453834951,0.5192965269
2,151,355,251,127,85,43,37,132,0.6961407065,0.1028334126,0.3947239816,0.3517342508,0.4264777601,0.3837322891,0.4719101191,0.3671226203,0.5715681314,0.5261358023,0.3673668802,0.5476306677,0.3744504154,0.3453834951,0.5105031729
2,172,299,151,123,67,36,41,124,0.6961407065,0.0945285782,0.3947239816,0.3605276048,0.4435759783,0.3837322891,0.4814362526,0.3671226203,0.5556912422,0.5346848965,0.3673668802,0.5476306677,0.3910600841,0.3453834951,0.5105031729
2,204,323,112,183,87,42,63,180,0.6961407065,0.0945285782,0.3947239816,0.3605276048,0.4523693323,0.3917928636,0.4892525673,0.3671226203,0.5478749275,0.5425012112,0.3673668802,0.5476306677,0.3910600841,0.3453834951,0.5024425983
2,151,305,107,195,88,40,49,146,0.6961407065,0.0867122635,0.3947239816,0.3605276048,0.4606741667,0.3917928636,0.4973131418,0.3759159744,0.5478749275,0.5512945652,0.3673668802,0.5476306677,0.3991206586,0.3536883295,0.5024425983
2,164,330,145,210,107,49,53,157,0.6961407065,0.0867122635,0.3947239816,0.3605276048,0.4606741667,0.3917928636,0.4973131418,0.3759159744,0.5478749275,0.5512945652,0.3673668802,0.5476306677,0.3991206586,0.3536883295,0.5024425983
2,174,310,130,195,100,43,48,72,0.6961407065,0.0867122635,0.3947239816,0.3605276048,0.4606741667,0.3917928636,0.4973131418,0.3759159744,0.5478749275,0.5593551397,0.3673668802,0.5476306677,0.3991206586,0.3536883295,0.5024425983
2,198,252,137,185,113,49,54,169,0.6961407065,0.0867122635,0.403028816,0.3605276048,0.4684904814,0.3917928636,0.5053737164,0.3759159744,0.5478749275,0.5674157143,0.3673668802,0.5476306677,0.4069369733,0.3536883295,0.5024425983
2,135,259,117,190,103,48,47,80,0.6961407065,0.0867122635,0.403028816,0.3605276048,0.4684904814,0.3917928636,0.5053737164,0.3759159744,0.5478749275,0.5674157143,0.3673668802,0.5476306677,0.4069369733,0.3536883295,0.5024425983
2,175,242,130,211,127,55,54,63,0.6961407065,0.0867122635,0.403028816,0.3605276048,0.4684904814,0.3917928636,0.5053737164,0.3759159744,0.5478749275,0.5674157143,0.3673668802,0.5476306677,0.4069369733,0.3536883295,0.5024425983
2,158,288,174,151,72,40,42,72,0.6961407065,0.0867122635,0.403028816,0.3688324392,0.4684904814,0.3917928636,0.5053737164,0.3759159744,0.5478749275,0.5674157143,0.3673668802,0.5476306677,0.4069369733,0.3536883295,0.5024425983
2,102,247,296,97,51,37,52,139,0.6961407065,0.0867122635,0.403028816,0.3688324392,0.4684904814,0.3917928636,0.5053737164,0.3759159744,0.5478749275,0.5674157143,0.3673668802,0.5476306677,0.4069369733,0.3536883295,0.510258913
